Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2021-12-06,392.85,1783.4,114.79,165.32,119.14,1180.54,67900
2021-12-07,396.31,1788.7,115.24,171.18,122.32,1176.73,67540
2021-12-08,397.27,1789.6,118.72,175.08,121.8,1175.19,67630
2021-12-09,401.13,1780.9,116.04,174.56,119.5,1178.15,67420
2021-12-10,397.97,1789.1,118.81,179.45,119.13,1180.86,67330
2021-12-13,397.27,1792.8,115.13,175.74,116.42,1184.91,67790
2021-12-14,395.41,1776.8,113.89,174.33,116.29,1185.19,67960
2021-12-15,395.66,1769.0,114.38,179.3,120.4,1184.57,67430
2021-12-16,397.68,1802.9,113.35,172.26,116.57,1186.29,67910
2021-12-17,398.96,1809.4,113.21,171.14,116.32,1187.7,68570
2021-12-20,391.37,1799.1,103.39,169.75,114.94,1189.53,68990
2021-12-21,393.95,1793.3,104.65,172.99,117.44,1190.67,68660
2021-12-22,396.07,1806.8,106.95,175.64,121.3,1190.21,68530
2021-12-23,398.15,1816.2,107.47,176.28,120.68,1185.55,68960
2021-12-27,398.61,1813.4,108.52,180.33,122.7,1185.61,69050
2021-12-28,401.21,1815.5,108.46,179.29,122.06,1188.09,69330
2021-12-29,396.72,1810.5,110.66,179.38,121.41,1184.7,68910
2021-12-30,394.19,1818.9,111.88,178.2,120.42,1189.36,68740
2022-01-03,395.51,1804.6,113.08,182.01,128.8,1193.0,69930
2022-01-04,395.4,1819.2,116.96,179.7,133.4,1197.49,69280
2022-01-05,390.39,1829.5,112.19,174.92,127.06,1198.2,69840
2022-01-06,386.22,1793.4,110.92,172.0,128.47,1204.95,69620
2022-01-07,390.85,1801.9,109.77,172.17,123.5,1197.63,69160
2022-01-10,387.52,1803.3,108.75,172.19,125.01,1198.04,69120
2022-01-11,388.97,1822.9,112.86,175.08,129.17,1192.31,69420
2022-01-12,394.66,1831.9,116.96,175.53,132.23,1185.87,69680
2022-01-13,393.0,1826.0,114.02,172.19,139.19,1186.11,69670
2022-01-14,387.45,1821.1,115.0,173.07,140.66,1190.07,69760
2022-01-18,381.01,1817.2,112.19,169.8,133.83,1192.69,69510
2022-01-19,378.21,1847.8,110.59,166.23,131.01,1188.13,69470
2022-01-20,380.39,1847.3,109.95,164.51,128.33,1192.42,70540
2022-01-21,376.08,1836.5,104.7,162.41,124.53,1192.51,70650
2022-01-24,371.3,1846.6,103.64,161.62,125.96,1195.59,70710
2022-01-25,362.39,1857.4,101.93,159.78,122.48,1196.35,70970
2022-01-26,360.83,1834.5,101.27,159.69,123.08,1197.03,71110
2022-01-27,348.58,1797.7,97.9,159.22,116.38,1203.77,70060
2022-01-28,357.98,1789.3,97.11,170.33,117.61,1209.56,69680
2022-02-03,361.6,1807.0,99.02,172.9,119.84,1199.47,70030
2022-02-04,366.34,1810.8,101.42,172.39,121.02,1198.25,69540
2022-02-07,362.92,1824.7,102.68,171.66,122.31,1196.87,69860
2022-02-08,363.48,1831.0,104.42,174.83,123.71,1196.35,70120
